Numero de Tratativas;Número da programação;Aut. embarque;Tipo de programação;Situação programação;CNPJ Transportadora;Transportadora;Nome local de atendimento;Situação prazo programação;Previsão início atendimento (BRA);Situação viagem;Dt. inclusão da programação;Cidade de destino;Dt chegada local de atendimento (BRA);Dt saída local de atendimento (BRA);Cidade de origem;Cidade local de atendimento;Placa do veículo;Placa da carreta 1;Embarcador;Placa da carreta 2;Valor da viagem;Data de criação da AE;Observação Aberta;Última tratativa
0;3REC75195A;864825;Entrega;ENCERRADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;DSM PRODUTOS NUTRICIONAIS BRASIL S.A.;No prazo;21/03/2023 10:30:00;CONCLUIDA;17/03/2023 15:13:32;;21/03/2023 09:36:00;21/03/2023 15:10:26;SAO GONCALO DO AMARANTE/CE;SAO GONCALO DO AMARANTE/CE;MHB7056 ;IWW3I79 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;21/03/2023 00:34:32;...;
0;3REC75197A;864855;Coleta;ENCERRADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;M DIAS BRANCO SA INDUSTRIA E COMERCIO DE ALIMENT;No prazo;21/03/2023 11:00:00;CONCLUIDA;17/03/2023 15:13:32;;21/03/2023 11:00:00;21/03/2023 16:00:00;SAO GONCALO DO AMARANTE/CE;FORTALEZA/CE;NFU4G07 ;LWH0I03 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;21/03/2023 01:21:50;...;
0;3SSZ336869A;864461;Coleta;ENCERRADA;15.245.792/0006-46;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;UNILEVER DO BRASIL LTDA;No prazo;21/03/2023 12:00:00;CONCLUIDA;16/03/2023 12:56:14;;21/03/2023 07:30:13;21/03/2023 22:05:42;;LOUVEIRA/SP;RIT6B27 ;FKQ4C23 ;LOG IN LOGISTICA INTERMODAL SA          ;;;20/03/2023 18:40:08;sm 27328594 !  ;
0;3REC75188A;865026;Entrega;ENCERRADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;COOPERATIVA CENTRAL AURORA ALIMENTOS;No prazo;21/03/2023 12:00:00;CONCLUIDA;17/03/2023 15:12:41;;21/03/2023 12:00:00;21/03/2023 17:00:00;SAO GONCALO DO AMARANTE/CE;FORTALEZA/CE;HXM3D01 ;MRP0H20 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;21/03/2023 06:18:26;...;
0;3REC75187A;864635;Entrega;ENCERRADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;COOPERATIVA CENTRAL AURORA ALIMENTOS;No prazo;21/03/2023 13:00:00;CONCLUIDA;17/03/2023 15:12:41;;21/03/2023 09:49:52;21/03/2023 09:55:15;SAO GONCALO DO AMARANTE/CE;FORTALEZA/CE;AUT4661 ;IXY8017 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;20/03/2023 21:08:38;...;
0;3SSZ336861A;864419;Coleta;ENCERRADA;15.245.792/0006-46;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;TORTUGA CIA ZOOTECNICA AGRARIA;No prazo;21/03/2023 14:00:00;CONCLUIDA;16/03/2023 12:54:36;;21/03/2023 11:54:00;21/03/2023 18:32:00;;MAIRINQUE/SP;EMU1I64 ;EPU9A40 ;LOG IN LOGISTICA INTERMODAL SA          ;;;20/03/2023 18:27:25;...;
0;3SSZ336862A;864430;Coleta;ENCERRADA;15.245.792/0006-46;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;TORTUGA CIA ZOOTECNICA AGRARIA;No prazo;21/03/2023 14:00:00;CONCLUIDA;16/03/2023 12:54:36;;21/03/2023 11:45:29;21/03/2023 20:25:20;;MAIRINQUE/SP;RIT6B29 ;GHC4H31 ;LOG IN LOGISTICA INTERMODAL SA          ;;;20/03/2023 18:33:43;...;
0;3REC75315A;864860;Entrega;ENCERRADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;INDAIA BRASIL AGUAS MINERAIS LTDA;No prazo;21/03/2023 14:00:00;CONCLUIDA;20/03/2023 14:17:14;;21/03/2023 12:27:16;21/03/2023 14:58:26;SAO GONCALO DO AMARANTE/CE;HORIZONTE/CE;HUM5925 ;DPC9504 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;21/03/2023 01:26:26;...;
0;3SSZ336870A;864482;Coleta;ENCERRADA;15.245.792/0006-46;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;GRANDFOOD INDUSTRIA E COMERCIO LTDA;No prazo;21/03/2023 22:00:00;CONCLUIDA;16/03/2023 12:56:14;;21/03/2023 22:00:00;22/03/2023 03:00:00;;DOURADO/SP;RIT6B09 ;GBO0B92 ;LOG IN LOGISTICA INTERMODAL SA          ;;;20/03/2023 18:48:46;...;
0;3SSZ336871A;864503;Coleta;ENCERRADA;15.245.792/0006-46;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;GRANDFOOD INDUSTRIA E COMERCIO LTDA;No prazo;21/03/2023 22:00:00;CONCLUIDA;16/03/2023 12:56:14;;21/03/2023 22:00:00;22/03/2023 03:00:00;;DOURADO/SP;RIS6G16 ;GIE8I31 ;LOG IN LOGISTICA INTERMODAL SA          ;;;20/03/2023 19:00:55;...;
3;3SSZ336872A;864527;Coleta;ENCERRADA;15.245.792/0006-46;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;SHERWIN WILLIAMS - 01;Atrasado;21/03/2023 22:00:00;CONCLUIDA;16/03/2023 12:56:15;;21/03/2023 22:11:02;21/03/2023 23:49:08;SANTOS/SP;TABOAO DA SERRA/SP;EVO8939 ;MLG6F54 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;20/03/2023 19:20:52;...;MOTORISTA PASSOU MAL NO CAMINHO PARA O CLIENTE, PRECISOU PARAR.
